apparel-syifrontend,items-api,100698
applications-api,items-api,226220
arquitectura-apidoc,items-api,582
arquitectura-apidoc,items-visits,108
billing-api,items-api,3276
bookmarks-api,items-api,1239150
buyingflow-frontend,items-api,4301572
catalog-gps,items-api,106814
catalog-navigation,items-api,1091756
categories-structureUpdate,items-api,18170
classifieds-syifrontend,items-api,61564
crm-adapters,items-api,37380
crm-api,items-api,4
feedback-api,items-api,96366
fraud-MlItems,items-api,12369434
fraud-scoringapi,items-api,58050
fraud-scoringoff,items-api,300984
homes-api,items-api,8884646
homes-frontend,items-api,14848310
irecognition-imageprocessing,items-api,1875030
items-api,search-searchhtml,2
items-api,catalog-api,5924
items-api,catalog-categoryAttributes,14112510
items-api,categories-read,15564088
items-api,locations-varnish,2299598
items-api,prices-read,2134664
items-api,shipping-addresses,11827520
items-api,sites-varnish,20069060
items-api,users-read,47745704
items-api,auth-access_token_api,48948310
items-api,auth-backoffice,28308
items-api,auth-loginfrontend,2
items-api,homes-frontend,2
items-api,feeds-feeds,10585940
items-api,questions-api,431474
items-api,billing-api,648
items-api,mlstatic-pool,6
items-api,vip-frontend,2
items-visits,items-api,2419032
mclics-frontend,items-api,5734
mshops-frontends,items-api,26548
mshops-jobs,items-api,2373092
myml-frontend,items-api,4087146
myml-frontend,items-visits,3274466
myml-itemsqueries,items-api,11455446
myml-questions,items-api,3938178
orders-api,items-api,13233010
orders-feed,items-api,102344
orders-notifications,items-api,387234
prices-api,items-api,1970100
promotionpacks-api,items-api,156848
questions-api,items-api,12262204
questions-emails,items-api,2859880
search-jobs,items-api,24392034
sell-resell,items-api,1189500
sell-syi,items-api,2888106
servicesclassified-frontend,items-api,6826
shipping-api,items-api,13744138
shipping-frontend,items-api,26
shipping-jobs,items-api,324224
sitemaps-job,items-api,146924
social-frontend,items-api,284424
traffic-registration,items-api,124794
users-api,items-api,127112
vip-frontend,items-api,12424848
vip-redis_updater,items-api,11304898
